-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 05/15/2025 in LST
Location: latitude  -6.5945   longitude 106.7892 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 371.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_LW_DWN,IMERG_PRECTOT
2024,324,36.89,-999.0
2024,325,36.92,-999.0
2024,326,37.07,-999.0
2024,327,36.87,-999.0
2024,328,36.6,-999.0
2024,329,36.28,-999.0
2024,330,36.75,-999.0
2024,331,36.94,-999.0
2024,332,36.89,-999.0
2024,333,36.28,-999.0
2024,334,36.7,-999.0
2024,335,36.69,-999.0
2024,336,36.89,-999.0
2024,337,36.78,-999.0
2024,338,36.72,-999.0
2024,339,36.54,-999.0
2024,340,36.93,-999.0
2024,341,36.7,-999.0
2024,342,37.04,-999.0
2024,343,37.01,-999.0
2024,344,36.8,-999.0
2024,345,37.07,-999.0
2024,346,36.64,-999.0
2024,347,36.62,-999.0
2024,348,37.22,-999.0
2024,349,36.85,-999.0
2024,350,36.92,-999.0
2024,351,37.06,-999.0
2024,352,36.57,-999.0
2024,353,36.95,-999.0
2024,354,36.89,-999.0
2024,355,36.73,-999.0
2024,356,36.75,-999.0
2024,357,36.58,-999.0
2024,358,36.62,-999.0
2024,359,36.58,-999.0
2024,360,36.47,-999.0
2024,361,36.32,-999.0
2024,362,36.12,-999.0
2024,363,35.37,-999.0
2024,364,36.4,-999.0
2024,365,36.35,-999.0
2024,366,36.08,-999.0
2025,1,36.22,-999.0
2025,2,35.54,-999.0
2025,3,35.79,-999.0
2025,4,35.79,-999.0
2025,5,36.12,-999.0
2025,6,36.13,-999.0
2025,7,36.36,-999.0
2025,8,36.59,-999.0
2025,9,36.61,-999.0
2025,10,36.54,-999.0
2025,11,36.22,-999.0
2025,12,36.57,-999.0
2025,13,36.52,-999.0
2025,14,36.65,-999.0
2025,15,35.99,-999.0
2025,16,36.17,-999.0
2025,17,36.45,-999.0
2025,18,36.14,-999.0
2025,19,36.25,-999.0
2025,20,36.49,-999.0
2025,21,36.23,-999.0
2025,22,36.26,-999.0
2025,23,36.31,-999.0
2025,24,36.54,-999.0
2025,25,36.48,-999.0
2025,26,36.47,-999.0
2025,27,35.85,-999.0
2025,28,36.54,-999.0
2025,29,36.47,-999.0
2025,30,36.24,-999.0
2025,31,36.17,-999.0
2025,32,36.29,-999.0
2025,33,35.95,-999.0
2025,34,35.79,-999.0
2025,35,35.54,-999.0
2025,36,36.45,-999.0
2025,37,36.64,-999.0
2025,38,36.47,-999.0
2025,39,36.69,-999.0
2025,40,36.54,-999.0
2025,41,36.32,-999.0
2025,42,35.78,-999.0
2025,43,35.59,-999.0
2025,44,36.07,-999.0
2025,45,36.15,-999.0
2025,46,36.19,-999.0
2025,47,36.42,-999.0
2025,48,36.12,-999.0
2025,49,36.42,-999.0
2025,50,35.81,-999.0
2025,51,35.88,-999.0
2025,52,36.31,-999.0
2025,53,36.14,-999.0
2025,54,36.12,-999.0
2025,55,36.24,-999.0
2025,56,36.8,-999.0
2025,57,36.45,-999.0
2025,58,36.78,-999.0
2025,59,36.85,-999.0
2025,60,36.92,-999.0
2025,61,37.4,-999.0
2025,62,37.16,-999.0
2025,63,36.77,-999.0
2025,64,35.96,-999.0
2025,65,36.43,-999.0
2025,66,36.59,-999.0
2025,67,36.81,-999.0
2025,68,36.54,-999.0
2025,69,36.36,-999.0
2025,70,36.87,-999.0
2025,71,36.31,-999.0
2025,72,36.19,-999.0
2025,73,36.21,-999.0
2025,74,36.48,-999.0
2025,75,36.59,-999.0
2025,76,36.54,-999.0
2025,77,36.46,-999.0
2025,78,36.83,-999.0
2025,79,36.62,-999.0
2025,80,36.09,-999.0
2025,81,36.56,-999.0
2025,82,35.64,-999.0
2025,83,36.32,-999.0
2025,84,36.28,-999.0
2025,85,36.55,-999.0
2025,86,36.74,-999.0
2025,87,36.81,-999.0
2025,88,36.71,-999.0
2025,89,36.2,-999.0
2025,90,35.64,-999.0
2025,91,36.12,-999.0
2025,92,36.52,-999.0
2025,93,36.49,-999.0
2025,94,36.61,-999.0
2025,95,36.49,-999.0
2025,96,36.6,-999.0
2025,97,35.91,-999.0
2025,98,36.34,-999.0
2025,99,36.53,-999.0
2025,100,36.7,-999.0
2025,101,36.9,-999.0
2025,102,36.9,-999.0
2025,103,36.58,-999.0
2025,104,36.21,-999.0
2025,105,36.79,-999.0
2025,106,37.08,-999.0
2025,107,36.84,-999.0
2025,108,37.01,-999.0
2025,109,36.69,-999.0
2025,110,36.73,-999.0
2025,111,36.41,-999.0
2025,112,36.22,-999.0
2025,113,36.72,-999.0
2025,114,36.57,-999.0
2025,115,36.73,-999.0
2025,116,37.17,-999.0
2025,117,36.86,-999.0
2025,118,35.77,-999.0
2025,119,35.8,-999.0
2025,120,36.77,-999.0
2025,121,36.71,-999.0
2025,122,36.69,-999.0
2025,123,36.77,-999.0
2025,124,37.08,-999.0
2025,125,36.62,-999.0
2025,126,37.28,-999.0
2025,127,36.74,-999.0
2025,128,36.81,-999.0
2025,129,36.13,-999.0
2025,130,36.45,-999.0
2025,131,36.37,-999.0
2025,132,36.48,-999.0
2025,133,36.79,-999.0
2025,134,36.76,-999.0
2025,135,36.93,-999.0
